release_date_int,Drama,United States of America,Documentary,Horror,Action,runtime,budget,revenue,Animation,Released,Comedy,xx_lan,Family,Rumored,Post Production,In Production,Pixar Animation Studios,is_english,United Kingdom,fa_lan,DC Comics,Switzerland,belongs_to_collection,Marvel Studios,Foreign,cs_lan,South Africa,af_lan,Twentieth Century Fox Film Corporation,History,Mystery,Hong Kong,Burkina Faso,Working Title Films,Australia,Hungary,Russia,TriStar Pictures,Bad Hat Harry Productions,Walt Disney Pictures,DreamWorks Animation,Thriller,Netherlands
19290803.0,0,1.0,0,0,0,96.0,21606623.53436832,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19290221.0,1,1.0,0,0,1,103.0,21606623.53436832,0.0,0,1.0,0,1.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19290605.0,1,0.0,0,0,0,16.0,21606623.53436832,0.0,0,1.0,0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19300429.0,1,1.0,0,0,0,133.0,1250000.0,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19300828.0,0,1.0,0,0,0,97.0,21606623.53436832,0.0,0,1.0,1,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19300331.0,1,0.0,0,0,0,108.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19310109.0,1,1.0,0,0,1,79.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19300731.0,0,0.0,0,0,0,104.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,1.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1,0.0
19301028.0,1,0.0,0,0,0,63.0,21606623.53436832,7940.0,0,1.0,1,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
19310209.0,1,1.0,0,0,0,123.0,21606623.53436832,0.0,0,1.0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0
